Sector,Land Type,Size (Acres),Dist to Beach (km),Owner,Patta
Chennai,residential,16.59,2.81,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.62,1.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,45.03,2.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,15.48,3.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,38.8,1.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,15.32,1.71,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,24.13,1.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.72,3.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,17.76,3.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,6.06,5.71,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,21.91,3.93,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.73,2.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,17.47,3.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,16.92,3.06,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,14.83,2.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,5.15,0.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.84,0.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,7.18,1.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.8,5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.58,4.94,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.36,1.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,10.81,3.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.79,3.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.14,3.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1,3.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.63,0.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.78,1.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.55,2.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,5.83,1.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.62,0.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.18,1.44,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,9.55,2.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.53,3.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.49,3.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,9.42,3.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,7.88,3.94,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,29.12,2.87,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,13.66,3.56,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.72,4.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,6.63,5.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,134.38,5.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.66,6.01,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,44.94,8.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,70.42,7.44,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.05,7.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.34,5.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.81,1.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.77,1.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.21,1.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.72,5.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.84,5.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,11.66,1.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,164.9,2.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,156.24,6.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.04,1.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,5.41,4.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.16,2.43,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.17,2.06,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.49,0.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.47,0.6,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.22,3.8,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,19.85,2.41,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.97,2.33,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.06,4.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.74,2.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.44,2.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.35,2.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.64,2.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.38,2.66,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.06,2.59,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.49,2.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.28,3.01,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.56,2.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.54,2.91,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.39,2.94,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.18,2.93,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.64,2.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.27,2.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.46,2.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.89,3.14,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.66,2.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.97,2.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.21,3.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.95,2.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.72,3.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.21,3.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.31,2.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1,3.27,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.06,3.27,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.75,3.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.96,2.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,13.55,2.87,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.88,3.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.51,2.68,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.09,3.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.81,3.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.59,2.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.49,2.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.16,2.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.96,3.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.84,3.16,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.3,3.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.3,2.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.91,2.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.56,3.26,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.04,3.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.9,2.88,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,6.47,2.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.53,2.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.33,2.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,15.6,3.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.77,3.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.01,2.44,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.29,2.71,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.7,2.53,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,6.76,2.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,6.22,2.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.65,2.49,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.42,3.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.31,3.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.59,3.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,12.37,3.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.11,4.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.67,3.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.85,3.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.86,3.81,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.93,4.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.83,4.27,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.42,4.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.98,4.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.02,3.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.24,4.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.09,3.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.65,3.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.62,3.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.44,3.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.13,3.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.73,4.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.28,3.87,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.49,3.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.87,3.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.04,3.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.79,4.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.09,4.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.12,3.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.89,4.6,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.54,3.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.52,3.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.55,2.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.11,2.1,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.53,2.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.24,0.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.13,1.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.52,1.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.35,1.33,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.91,1.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.1,0.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.94,0.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.45,0.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.05,1.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.07,1.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.54,1.31,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,retail;commercial,0.92,1.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.74,1.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.51,1.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.3,1.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.78,1.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.79,1.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.39,1.66,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.1,1.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.87,1.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.01,1.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.49,2.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.79,1.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.9,2.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.38,2.41,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.24,2.49,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.22,2.49,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.93,2.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.91,2.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.56,2,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.93,2.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.18,2.44,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.11,2.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.55,1.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.96,2.06,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.59,2.16,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.16,2.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.8,2.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.26,2.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,8.81,2.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.21,2.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.67,1.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.54,2.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.37,3.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,7.39,1.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.94,3.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.15,2.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.6,1.79,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.25,2.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.62,3.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.43,5.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,1.04,4.41,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.87,4.21,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.53,3.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3,4.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.19,4.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,16.84,3.94,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,10.84,4.38,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.95,4.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.91,3.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.38,3.68,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.98,3.55,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.27,3.59,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.37,3.88,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.11,3.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.84,4.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,6.64,3.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,10.78,3.01,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.34,2.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.14,3.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.99,2.87,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.26,2.67,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,10.05,3.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,20.8,2.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.93,3.18,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.75,3.14,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.67,3.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.12,3.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.56,4.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.63,3.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.61,1.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.06,1.37,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.27,1.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.91,0.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.75,0.34,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.63,1.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.57,5.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,19.52,0.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.63,2.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.5,2.08,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,20.35,1.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.47,0.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.88,0.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,9.77,0.12,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.65,0.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.29,0.15,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.45,0.16,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,9.43,0.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.1,0.17,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.46,0.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.27,1.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.34,1.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.26,1.62,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.8,0.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,2.94,1.89,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.27,1.84,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.57,2.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.91,1.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.65,3.75,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.38,3.7,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.78,3.85,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.12,4.46,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.73,4.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.96,3.32,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.27,3.23,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.2,3.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.45,1.77,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.66,1.92,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.58,2.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.07,2.24,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.51,3.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.05,1.44,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.1,1.39,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.28,4.6,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.36,4.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.64,4.5,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,3.66,4.11,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.13,5.96,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,0.7,5.48,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.6,5.45,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.2,3.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,8.89,3.52,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.44,3.61,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.13,3.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.25,3.4,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,18.28,3.54,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,5.03,3.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.15,4.19,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.41,3.33,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.41,4.25,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.78,3.65,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.7,3.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.45,3.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.9,3.64,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.37,4.29,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,1.61,4.04,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.06,4.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.92,4.04,"Restricted (Requires TN Nilam Auth)",Restricted
